,Smiles,Name
10,Nc1c(C(=O)NCCCc2ccccc2)c3nc4ccccc4nc3n1\N=C\c5cccnc5,STOCK4S-00019
14,CCn1c2ccccc2c3cc(NC(=O)CSc4nnc(c5ccncc5)n4N)ccc13,STOCK4S-00025
